الجذر,المصدر,إسماء الفاعل,إسماء المفعول,الماضي,الْمُضَارِع,الْأَمْر,English
ك ت ب,تَكتيب,مُكَتِّب,مُكَتَّب,كَتَّبَ,يُكَتِّب,كَتِّب,To cause to write
ق ت ل,تَقتيل,مُقَتِّل,مُقَتَّل,قَتَّلَ,يُقَتِّل,قَتِّل,To massacre
ك ب ر,تَكبير,مُكَبِّر,مُكَبَّر,كَبَّرَ,يُكَبِّر,كَبِّر,To enlarge
م ر ض,تَمريض,مُمَرِّض,مُمَرَّض,مَرَّضَ,يُمَرِّض,مَرِّض,To make sick
ج ن س,تَجنيس,مُجَنِّس,مُجَنَّس,جَنَّسَ,يُجَنِّس,جَنِّس,To naturalize
ج ل س,تَجليس,مُجَلِّس,مُجَلَّس,جَلَّسَ,يُجَلِّس,جَلِّس,To register
ش ب ه,تَشبيه,مُشَبِّه,مُشَبَّه,شَبَّهَ,يُشَبِّه,شَبِّه,To compare
ح ص ل,تَحصيل,مُحَصِّل,مُحَصَّل,حَصَّلَ,يُحَصِّل,حَصِّل,To produce
ص ع ب,تَصعيب,مُصَعِّب,مُصَعَّب,صَعَّبَ,يُصَعِّب,صَعِّب,To complicate
