الجذر,المصدر,إسماء الفاعل,إسماء المفعول,الماضي,الْمُضَارِع,الْأَمْر,English
ق ت ل,إقتِتال,مُقتَتِل,مُقتَتَل,إقتَتَلَ,يَقتَتِل,إقتَتِل,To fight one another
ك ت ب,إكتِتاب,مُكتَتِب,مُكتَتَب,إكتَتَبَ,يَكتَتِب,إكتَتِب,To write one another
س ل م,إستِلام,مُستَلِم,مُستَلَم,إستَلَمَ,يَستَلِم,إستَلِم,To receive
ز ح م,إزدِحام,مُزدَحِم,مُزدَحَم,إزدَحَمَ,يَزدَحِم,إزدَحِم,To crowd together
