الجذر,المصدر,إسماء الفاعل,إسماء المفعول,الماضي,الْمُضَارِع,الْأَمْر,English
ف ر ق,تَفَرُّق,مُتَفَرِّق,NA,تَفَرَّقَ,يَتَفَرَّق,تَفَرَّق,To scatter
خ ل ف,تَخَلُّف,مُتَخَلِّف,مُتَخَلَّف,تَخَلَّفَ,يَتَخَلَّف,تَخَلَّف,To be behind
س ل م,تَسَلُّم,مُتَسَلِّم,مُتَسَلَّم,تَسَلَّمَ,يَتَسَلَّم,تَسَلَّم,To take over
ر ق ب,تَرَقُّب,مُتَرَقِّب,مُتَرَقَّب,تَرَقَّبَ,يَتَرَقَّب,تَرَقَّب,To be vigilant
